9123 224
88 61 88
69 85 60
82 76 78
89 69 74
90 71 78
84 71 68
69 83 80
84 64 64
86 78 82
86 81 82
82 65 89
65 76 74
83 78 86
86 89 78
89 68 88
84 83 72
77 78 77
61 85 68
84 72 69
75 84 75
62 77 78
70 77 64
64 90 66
85 66 65
63 89 73
90 75 75
86 60 77
61 66 67
76 72 60
68 83 84
74 79 66
70 89 65
87 70 78
74 64 70
62 81 67
88 71 88
63 64 65
82 74 89
86 75 75
71 82 82
79 78 90
77 82 83
62 78 78
66 69 75
77 76 74
81 88 90
81 66 75
82 78 75
67 79 71
86 70 89
89 74 76
82 67 64
62 71 74
67 73 64
61 87 67
79 87 85
66 62 73
77 81 90
85 87 62
70 61 76
71 60 68
71 70 62
75 71 83
71 87 72
77 75 62
68 67 73
62 65 66
87 69 72
62 64 63
67 70 61
81 83 74
83 67 90
80 78 79
77 88 80
78 67 79
87 79 78
74 67 64
71 87 85
60 74 61
86 68 63
76 75 61
79 68 87
84 78 66
78 71 85
85 70 81
76 78 90
68 62 77
90 70 84
66 78 62
82 85 70
77 69 84
74 72 74
86 69 89
83 62 88
70 77 66
83 87 66
83 62 76
64 86 66
60 63 82
69 87 76
80 83 62
80 84 68
89 64 85
78 86 88
65 80 62
61 74 89
63 70 68
90 69 61
89 80 89
75 83 80
79 85 78
82 73 79
84 86 84
71 60 65
76 67 74
70 74 76
90 72 61
81 76 69
61 60 81
61 64 89
79 60 76
86 67 73
69 60 66
89 73 79
75 77 85
86 90 61
60 63 85
90 73 88
72 87 69
86 88 67
86 71 60
69 86 83
79 67 83
80 81 76
62 72 77
85 70 65
65 61 87
70 65 81
69 82 76
60 63 89
79 69 66
74 90 79
76 79 75
66 90 85
89 76 63
63 73 79
85 88 82
85 79 62
73 63 88
76 82 90
64 71 65
68 70 67
60 89 68
85 78 62
87 65 60
78 83 80
63 80 88
80 62 79
85 61 77
61 89 63
88 77 64
64 63 85
89 71 88
80 72 63
67 79 80
83 85 82
71 75 87
61 77 67
90 86 62
83 61 63
68 84 76
83 79 71
72 74 90
60 86 76
64 90 62
85 79 63
80 67 90
84 81 75
66 64 74
75 62 61
86 86 84
62 61 90
67 75 77
75 84 65
77 72 79
76 67 66
64 81 76
75 80 84
90 78 82
65 82 65
80 82 74
86 78 61
88 76 77
88 79 88
81 63 84
89 80 79
63 80 84
73 67 89
83 83 80
66 68 87
61 80 71
70 76 63
66 77 80
63 68 76
80 61 68
80 72 73
77 69 63
83 79 89
63 87 80
63 63 76
90 90 90
89 72 65
85 70 75
82 79 77
77 81 82
63 77 64
81 67 83
85 78 66
63 89 66
81 72 66
62 71 73
80 84 89
71 88 80
78 75 81
80 73 71
80 85 87
78 70 89
72 69 64
